Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
5/31/2017,10.631,10.3949,8.1281,10.3853,690758
5/30/2017,10.316,10.3632,8.3926,10.3897,465728
5/26/2017,10.473,10.3308,8.5393,10.391,484117
5/25/2017,10.379,10.2653,8.3905,10.3878,764699
5/24/2017,10.085,10.2406,8.3866,10.5162,431354
5/23/2017,10.453,10.2217,8.4611,10.516,307497
5/22/2017,10.453,10.1808,9.0363,10.5286,324930
5/19/2017,11.49,10.1328,8.9385,10.5469,786822
5/18/2017,13.14,10.1709,8.6409,10.5344,945213
5/17/2017,14.03,10.1187,7.2225,10.4647,1137001
5/16/2017,9.395,10.0652,7.329,10.5208,485896
5/15/2017,9.475,10.2341,7.5736,10.5283,336420
5/12/2017,10.074,10.3968,7.668,10.5725,536019
5/11/2017,9.956,10.6104,7.4859,10.5868,519162
5/10/2017,9.541,10.8132,7.8178,10.6436,426165
5/9/2017,9.683,11.0104,7.9155,10.65,543410
5/8/2017,9.043,11.1473,8.0121,10.7018,345634
5/5/2017,9.833,11.2919,8.045,10.7144,419400
5/4/2017,9.674,11.3741,8.3644,10.7287,575613
5/3/2017,9.774,11.4803,8.4137,10.7562,379131
5/2/2017,9.997,11.4807,8.695,10.7808,464777
5/1/2017,9.668,11.474,8.495,10.8023,641643
4/28/2017,9.162,11.4665,8.3607,10.8852,592082
4/27/2017,9.885,11.477,8.3413,10.9443,556054
4/26/2017,9.708,11.4557,8.6143,10.9618,456249
4/25/2017,9.635,11.4614,9.1349,10.958,516429
4/24/2017,9.492,11.5106,8.5356,11.0134,536376
4/21/2017,12.254,11.6045,8.5517,11.0212,670761
4/20/2017,12.095,11.5761,8.5693,11.0188,661302
4/19/2017,12.959,11.5083,9.8405,11.0357,425149
4/18/2017,12.775,11.3911,9.7684,11.0603,366817
4/17/2017,12.728,11.1804,9.5608,11.0491,315915
4/13/2017,14.346,11.0051,9.5437,11.05,646944
4/12/2017,14.013,10.7634,9.6488,11.0853,405239
4/11/2017,13.484,10.5622,9.4251,11.0924,684965
4/10/2017,12.42,10.4043,9.3155,11.1236,370376
4/7/2017,11.936,10.2819,9.3909,11.1616,555248
4/6/2017,11.477,10.1683,9.4446,11.2131,489645
4/5/2017,11.798,10.1033,9.1977,11.3047,859001
4/4/2017,9.782,10.0015,9.1759,11.3271,373216
4/3/2017,9.864,9.9924,9.0415,11.3154,432890
3/31/2017,9.518,9.9712,9.091,11.4397,663642
3/30/2017,9.371,9.9723,9.1882,11.4383,439782
3/29/2017,9.458,10.0215,9.5082,11.4535,300246
3/28/2017,9.823,10.0765,9.3438,11.5691,394110
3/27/2017,10.619,10.1347,8.7311,11.5293,443939
3/24/2017,11.369,10.1159,8.6991,11.5288,567616
3/23/2017,11.688,10.0727,8.8623,11.5409,424232
3/22/2017,10.738,10.0337,8.6356,11.5596,486743
3/21/2017,10.616,10.0022,6.6642,11.4342,869484
3/20/2017,8.56,9.9617,6.8285,11.4391,386310
3/17/2017,9.223,10.0304,6.8965,11.4518,509948
3/16/2017,9.512,10.1019,7.1538,11.4927,555437
3/15/2017,9.987,10.1453,7.0045,11.4948,560403
3/14/2017,10.326,10.1408,7.0079,11.5045,333626
3/13/2017,9.974,10.1496,7.0397,11.5799,226550
3/10/2017,9.662,10.1702,6.8962,11.6956,525767
3/9/2017,10.179,10.1949,6.864,11.6973,459292
3/8/2017,9.762,10.1987,6.859,11.723,420114
3/7/2017,9.599,10.2218,6.8096,11.7512,346396
3/6/2017,9.439,10.2414,6.6377,11.7778,309765
3/3/2017,9.541,10.28,6.7047,11.7888,462303
3/2/2017,10.354,10.3645,7.0652,11.7991,486922
3/1/2017,10.559,10.4014,6.769,11.9122,545701
2/28/2017,10.986,10.4555,7.0788,11.9247,418362
2/27/2017,10.244,10.465,7.0406,11.9552,336450
2/24/2017,10.505,10.469,6.7983,11.9644,519072
2/23/2017,10.909,10.4915,6.96,12.1084,472710
2/22/2017,10.107,10.4812,7.1314,12.1766,306607
2/21/2017,9.806,10.5029,7.2574,12.2288,444857
2/17/2017,9.935,10.5656,7.3244,12.2446,428084
2/16/2017,10.653,10.6361,7.4446,12.3345,478312
2/15/2017,10.378,10.7215,7.13,12.4444,474890
2/14/2017,9.898,10.7935,7.1572,12.5686,288647
2/13/2017,10.501,10.9095,7.0822,12.618,540335
2/10/2017,10.387,10.9791,7.6409,12.7604,455033
2/9/2017,10.156,11.0635,7.7105,12.9058,448947
2/8/2017,10.256,11.1691,7.6954,13.0627,222967
2/7/2017,10.223,11.2633,7.6903,13.2309,326711
2/6/2017,9.99,11.3597,8.0698,13.4031,191480
2/3/2017,10.211,11.473,8.3586,13.4622,427690
2/2/2017,11.233,11.6073,8.3488,13.6236,295066
2/1/2017,11.09,11.7091,8.3391,13.7141,412339
1/31/2017,11.642,11.8636,9.0099,13.7393,348708
1/30/2017,11.177,12.074,8.7844,13.8826,366319
1/27/2017,10.323,12.2391,9.4288,14.0063,398459
1/26/2017,10.955,12.4323,9.6072,14.1761,370802
1/25/2017,10.704,12.5264,9.3108,14.1849,486709
1/24/2017,10.541,12.6423,9.2416,14.2354,277010
1/23/2017,11.059,12.7716,9.102,14.4113,303418
1/20/2017,11.345,12.8617,8.9427,14.498,415534
1/19/2017,12.362,12.9303,9.0276,14.6836,361506
1/18/2017,11.818,12.9492,9.2737,14.8625,241492
1/17/2017,12.218,13.0287,9.4027,15.0543,272317
1/13/2017,11.893,13.1222,9.515,15.2182,409981
1/12/2017,12.074,13.25,9.6379,15.4363,408783
1/11/2017,12.268,13.359,9.6994,15.4769,386125
1/10/2017,12.141,13.4391,9.7961,15.5708,330794
1/9/2017,12.15,13.4864,9.8021,15.66,306212
1/6/2017,12.256,13.5384,10.7444,15.8412,598223
1/5/2017,12.897,13.5914,10.5736,15.9518,398824
1/4/2017,13.268,13.6038,10.7522,15.9677,318269
1/3/2017,14.181,13.6228,10.5289,16.1536,313195
12/30/2016,15.85,13.6876,11.2008,16.1365,769426
12/29/2016,14.479,13.6782,11.9875,16.1513,308308
12/28/2016,14.186,13.6238,11.6074,16.1562,303369
12/27/2016,12.838,13.5546,11.4633,16.1643,220880
12/23/2016,13.022,13.5493,11.456,16.1642,166020
12/22/2016,13.126,13.5213,11.4897,16.1684,208106
12/21/2016,12.863,13.4862,11.5511,16.175,221515
12/20/2016,12.716,13.4594,11.8659,16.1989,195287
12/19/2016,12.74,13.4569,11.8348,16.2601,438255
12/16/2016,13.409,13.53,11.9821,16.3672,447770
12/15/2016,14.087,13.5765,12.3996,16.3938,455426
12/14/2016,14.45,13.6266,12.7704,16.4176,456226
12/13/2016,14.254,13.6786,12.81,16.4296,946992
12/12/2016,13.869,13.8047,12.9306,16.5099,306987
12/9/2016,13.086,13.9405,14.8033,16.515,590561
12/8/2016,13.191,14.1235,15.7229,16.5615,376394
12/7/2016,13.317,14.1988,15.1291,16.5388,518763
